Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524534789174,2155233135740071,2.2505496,4.8458643,7.7189064
android.sensor.accelerometer,1524534789194,2155233155732259,2.0494366,4.951209,7.9391727
android.sensor.accelerometer,1524534789214,2155233175722884,2.0590134,4.951209,8.532935
android.sensor.accelerometer,1524534789234,2155233195744759,2.0111294,5.0182467,8.66701
android.sensor.accelerometer,1524534789254,2155233215735384,1.9153614,5.1235914,8.101978
android.sensor.accelerometer,1524534789274,2155233235726009,1.7142484,5.315128,7.642292
android.sensor.accelerometer,1524534789294,2155233255718196,1.7621324,5.2768207,7.824251
android.sensor.accelerometer,1524534789314,2155233275740071,1.6950948,5.21936,8.2169
android.sensor.accelerometer,1524534789334,2155233295730696,1.7525556,5.2289367,8.255207
android.sensor.accelerometer,1524534789354,2155233315721321,1.9057846,5.209783,8.025364
android.sensor.accelerometer,1524534789374,2155233335743196,2.078167,5.2959743,7.9966335
android.sensor.accelerometer,1524534789394,2155233355735384,2.1260512,5.410896,8.015787
android.sensor.accelerometer,1524534789414,2155233375724446,2.1260512,5.4779334,7.785944
android.sensor.accelerometer,1524534789434,2155233395716634,2.0111294,5.410896,7.642292
android.sensor.accelerometer,1524534789454,2155233415738509,1.5610195,5.3438582,7.517793
android.sensor.accelerometer,1524534789474,2155233435729134,1.1492168,5.305551,8.322245
android.sensor.accelerometer,1524534789494,2155233455722884,1.3311762,5.2768207,8.925584
android.sensor.accelerometer,1524534789514,2155233475743196,2.231396,5.142745,8.513782
android.sensor.accelerometer,1524534789534,2155233495733821,4.6160207,4.8267107,8.90643
android.sensor.accelerometer,1524534789554,2155233515724446,6.8665705,4.2521024,9.816227
android.sensor.accelerometer,1524534789574,2155233535715071,8.532935,3.6870706,8.858546
android.sensor.accelerometer,1524534789594,2155233555736946,10.91756,2.9975405,6.7803793
android.sensor.accelerometer,1524534789614,2155233575727571,13.283031,2.6719291,4.4723687
android.sensor.accelerometer,1524534789634,2155233595719759,13.062764,2.27928,4.8745947
android.sensor.accelerometer,1524534789654,2155233615741634,12.181698,2.4037786,4.2521024
android.sensor.accelerometer,1524534789674,2155233635732259,13.417107,3.1507695,2.3558946
android.sensor.accelerometer,1524534789694,2155233655722884,14.681245,3.6583402,2.9113493
android.sensor.accelerometer,1524534789714,2155233675715071,15.26543,4.261679,1.7238252
android.sensor.accelerometer,1524534789734,2155233695736946,14.030022,5.085284,-0.047884032
android.sensor.accelerometer,1524534789754,2155233715727571,11.884817,5.3342814,0.34476504
android.sensor.accelerometer,1524534789774,2155233735718196,11.15698,4.960786,2.7581203
android.sensor.accelerometer,1524534789794,2155233755741634,10.160992,5.133168,2.9783869
android.sensor.accelerometer,1524534789814,2155233775732259,7.929596,5.861006,1.5514427
android.sensor.accelerometer,1524534789834,2155233795722884,5.66947,6.3781533,0.05746084
android.sensor.accelerometer,1524534789854,2155233815713509,5.142745,6.7803793,1.0534488
android.sensor.accelerometer,1524534789874,2155233835736946,5.90889,7.517793,2.719813
android.sensor.accelerometer,1524534789894,2155233855726009,5.2863975,8.494628,3.763685
android.sensor.accelerometer,1524534789914,2155233875718196,4.510676,9.251195,1.4077905
android.sensor.accelerometer,1524534789934,2155233895740071,4.903325,9.816227,2.3463178
android.sensor.accelerometer,1524534789954,2155233915730696,6.5505357,10.5919485,0.7374141
android.sensor.accelerometer,1524534789974,2155233935721321,8.39886,11.099519,0.23942018
android.sensor.accelerometer,1524534789994,2155233955744759,5.650316,11.386824,4.2999864
android.sensor.accelerometer,1524534790014,2155233975735384,0.7469909,11.587936,4.759673
android.sensor.accelerometer,1524534790034,2155233995726009,-1.541866,11.750742,0.6607997
android.sensor.accelerometer,1524534790054,2155234015716634,-3.8019924,12.277467,-4.9799395
android.sensor.accelerometer,1524534790074,2155234035738509,-7.297527,12.229582,-6.6367273
android.sensor.accelerometer,1524534790094,2155234055729134,-8.37013,11.971008,-5.449203
android.sensor.accelerometer,1524534790114,2155234075719759,-6.5601125,11.3964,-6.9623384
android.sensor.accelerometer,1524534790134,2155234095743196,-5.2480903,10.199299,-6.215348
android.sensor.accelerometer,1524534790154,2155234115733821,-4.6160207,8.408437,-2.96881
android.sensor.accelerometer,1524534790174,2155234135724446,-3.5625722,7.067683,-1.0630256
android.sensor.accelerometer,1524534790194,2155234155716634,-2.834735,6.0525417,-0.4213795
android.sensor.accelerometer,1524534790214,2155234175738509,-2.5187001,4.309563,-0.32561144
android.sensor.accelerometer,1524534790234,2155234195729134,-1.1875241,2.0685902,1.0821792
android.sensor.accelerometer,1524534790254,2155234215719759,0.58418524,-0.019153614,1.1971009
android.sensor.accelerometer,1524534790274,2155234235741634,1.2162545,-2.1930888,1.13964
android.sensor.accelerometer,1524534790294,2155234255733821,0.545878,-4.4340615,2.873042
android.sensor.accelerometer,1524534790314,2155234275724446,0.5650316,-7.1347213,5.3342814
android.sensor.accelerometer,1524534790334,2155234295715071,0.7182605,-9.739613,5.889736
android.sensor.accelerometer,1524534790354,2155234315736946,0.7469909,-12.708423,5.650316
android.sensor.accelerometer,1524534790374,2155234335727571,2.633622,-16.730682,6.981492
android.sensor.accelerometer,1524534790394,2155234355719759,4.7405195,-20.915747,13.64695
android.sensor.accelerometer,1524534790414,2155234375740071,6.167464,-23.683443,19.938911
android.sensor.accelerometer,1524534790434,2155234395732259,6.033388,-25.617958,23.645136
android.sensor.accelerometer,1524534790454,2155234415722884,3.2561142,-27.77274,31.182083
android.sensor.accelerometer,1524534790474,2155234435713509,-5.3247046,-28.222849,34.9745
android.sensor.accelerometer,1524534790494,2155234455736946,-9.299079,-28.711267,33.911472
android.sensor.accelerometer,1524534790514,2155234475726009,-8.42759,-33.212364,30.933086
android.sensor.accelerometer,1524534790534,2155234495718196,-4.2042184,-43.133938,31.747114
android.sensor.accelerometer,1524534790554,2155234515740071,-6.8186865,-53.30451,37.73262
android.sensor.accelerometer,1524534790574,2155234535730696,-11.453861,-66.712036,43.16267
android.sensor.accelerometer,1524534790594,2155234555721321,-2.8921957,-78.42447,42.128372
android.sensor.accelerometer,1524534790614,2155234575744759,34.55312,-78.42447,17.72667
android.sensor.accelerometer,1524534790634,2155234595735384,64.11672,-78.31912,-8.465898
android.sensor.accelerometer,1524534790654,2155234615726009,59.136784,-78.27124,-2.2122424
android.sensor.accelerometer,1524534790674,2155234635716634,58.78244,-78.25209,-7.5944076
android.sensor.accelerometer,1524534790694,2155234655738509,71.299324,-71.87393,-48.535255
android.sensor.accelerometer,1524534790714,2155234675730696,74.34475,-17.027563,-74.41179
android.sensor.accelerometer,1524534790734,2155234695721321,48.88002,4.280833,-32.44622
android.sensor.accelerometer,1524534790754,2155234715743196,15.725117,-11.061212,14.202404
android.sensor.accelerometer,1524534790774,2155234735733821,12.152967,-7.2783732,16.950949
android.sensor.accelerometer,1524534790794,2155234755724446,15.428236,-0.89064306,-14.614207
android.sensor.accelerometer,1524534790814,2155234775716634,14.891934,0.4405331,-20.800825
android.sensor.accelerometer,1524534790834,2155234795738509,11.176133,-0.009576807,-17.448942
android.sensor.accelerometer,1524534790854,2155234815729134,7.872135,-0.29688102,-13.982138
android.sensor.accelerometer,1524534790874,2155234835719759,8.37013,-1.4556746,-2.078167
android.sensor.accelerometer,1524534790894,2155234855741634,11.789049,-1.5131354,4.817134
android.sensor.accelerometer,1524534790914,2155234875733821,14.54717,-0.5554548,0.51714754
android.sensor.accelerometer,1524534790934,2155234895724446,14.671668,-0.90021986,-1.2066777
android.sensor.accelerometer,1524534790954,2155234915715071,12.727576,-1.1300632,-0.9672575
android.sensor.accelerometer,1524534790974,2155234935736946,9.078813,0.23942018,0.6895301
android.sensor.accelerometer,1524534790994,2155234955727571,6.4260373,1.7525556,0.89064306
android.sensor.accelerometer,1524534791014,2155234975719759,4.5681367,3.4859576,0.5650316
android.sensor.accelerometer,1524534791034,2155234995741634,4.462792,5.5737014,1.3599066
android.sensor.accelerometer,1524534791054,2155235015732259,5.3247046,6.751649,1.9536686
