Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524534741539,2155185495741634,-1.3556147,-0.6165899,-0.2822372
android.sensor.gyroscope,1524534741556,2155185515732259,-1.5437961,-0.56286865,-0.39842376
android.sensor.gyroscope,1524534741576,2155185535722884,-1.7646849,-0.48377037,-0.5290442
android.sensor.gyroscope,1524534741596,2155185555713509,-1.9891168,-0.41777948,-0.664028
android.sensor.gyroscope,1524534741616,2155185575736946,-2.1063855,-0.41205478,-0.72130966
android.sensor.gyroscope,1524534741636,2155185595727571,-2.160927,-0.46113345,-0.72621405
android.sensor.gyroscope,1524534741656,2155185615718196,-2.220373,-0.5080479,-0.7518529
android.sensor.gyroscope,1524534741676,2155185635740071,-2.3417256,-0.50340533,-0.8025722
android.sensor.gyroscope,1524534741696,2155185655730696,-2.5241823,-0.44395941,-0.8808328
android.sensor.gyroscope,1524534741716,2155185675721321,-2.714528,-0.3706032,-0.95692915
android.sensor.gyroscope,1524534741736,2155185695744759,-2.839424,-0.32915163,-0.99291784
android.sensor.gyroscope,1524534741756,2155185715735384,-2.8814163,-0.3220656,-0.9901951
android.sensor.gyroscope,1524534741776,2155185735726009,-3.0139568,-0.25333455,-1.029465
android.sensor.gyroscope,1524534741796,2155185755718196,-3.0952191,-0.18161896,-1.0477386
android.sensor.gyroscope,1524534741816,2155185775740071,-3.1388524,-0.13852678,-1.0480005
android.sensor.gyroscope,1524534741836,2155185795730696,-3.014777,-0.19198622,-0.98255056
android.sensor.gyroscope,1524534741856,2155185815721321,-2.7846029,-0.31988394,-0.9124756
android.sensor.gyroscope,1524534741876,2155185835743196,-2.6198962,-0.39760345,-0.8298342
android.sensor.gyroscope,1524534741896,2155185855733821,-2.6073472,-0.37306413,-0.7867595
android.sensor.gyroscope,1524534741916,2155185875724446,-2.4914575,-0.41914082,-0.71638787
android.sensor.gyroscope,1524534741936,2155185895716634,-1.9814898,-0.77747434,-0.5710368
android.sensor.gyroscope,1524534741956,2155185915738509,-1.6678715,-1.0095508,-0.46795768
android.sensor.gyroscope,1524534741976,2155185935729134,-1.640051,-1.0504613,-0.36706018
android.sensor.gyroscope,1524534741997,2155185955719759,-1.8429455,-0.91573936,-0.32342696
android.sensor.gyroscope,1524534742016,2155185975743196,-2.0425763,-0.78457785,-0.28605947
android.sensor.gyroscope,1524534742036,2155185995733821,-2.262383,-0.63294363,-0.22851595
android.sensor.gyroscope,1524534742056,2155186015724446,-2.8200681,-0.32014576,0.011990412
android.sensor.gyroscope,1524534742076,2155186035715071,-3.4601152,0.09489355,0.25905922
android.sensor.gyroscope,1524534742097,2155186055736946,-4.0210643,0.637307,0.43059018
android.sensor.gyroscope,1524534742116,2155186075729134,-4.336323,1.1557221,0.5549449
android.sensor.gyroscope,1524534742136,2155186095719759,-4.4778514,1.6130507,0.7041182
android.sensor.gyroscope,1524534742156,2155186115741634,-4.4224896,1.9348545,0.85302967
android.sensor.gyroscope,1524534742176,2155186135732259,-4.221777,2.1658313,0.98991585
android.sensor.gyroscope,1524534742196,2155186155722884,-3.9299753,2.3785522,1.1110067
android.sensor.gyroscope,1524534742216,2155186175715071,-3.572462,2.5462608,1.2454495
