Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524535157838,2155601795726009,0.006265732,0.07307693,0.12025318
android.sensor.gyroscope,1524535157856,2155601815718196,0.009267698,0.063268185,0.11943288
android.sensor.gyroscope,1524535157875,2155601835740071,0.009267698,0.057805303,0.12217305
android.sensor.gyroscope,1524535157896,2155601855730696,0.00572468,0.0662527,0.1412495
android.sensor.gyroscope,1524535157915,2155601875721321,0.0019024089,0.06653195,0.14152876
android.sensor.gyroscope,1524535157936,2155601895743196,5.410521E-4,0.07744026,0.16634732
android.sensor.gyroscope,1524535157956,2155601915733821,0.0032637657,0.06653195,0.14725342
android.sensor.gyroscope,1524535157975,2155601935724446,0.00572468,0.057264253,0.12871803
android.sensor.gyroscope,1524535157996,2155601955716634,0.007906342,0.0659909,0.14753269
android.sensor.gyroscope,1524535158015,2155601975738509,0.006806784,0.071174525,0.15570082
android.sensor.gyroscope,1524535158035,2155601995729134,0.008447394,0.08044223,0.16006415
android.sensor.gyroscope,1524535158055,2155602015719759,0.009808751,0.09135053,0.16852899
android.sensor.gyroscope,1524535158075,2155602035741634,0.013892821,0.119991384,0.19743164
android.sensor.gyroscope,1524535158096,2155602055733821,0.02289872,0.16879079,0.21134192
android.sensor.gyroscope,1524535158115,2155602075724446,0.026720991,0.2956064,0.29832911
android.sensor.gyroscope,1524535158135,2155602095715071,0.032986723,0.48923326,0.4395961
android.sensor.gyroscope,1524535158155,2155602115736946,8.0285146E-4,0.93811446,0.9081123
android.sensor.gyroscope,1524535158175,2155602135727571,-0.050440013,1.2879832,1.3785309
android.sensor.gyroscope,1524535158197,2155602155718196,-0.13007939,1.6656898,1.9544895
android.sensor.gyroscope,1524535158215,2155602175741634,-0.26069984,2.0224004,2.6013434
android.sensor.gyroscope,1524535158235,2155602195732259,-0.40959388,2.166931,2.985054
android.sensor.gyroscope,1524535158255,2155602215722884,-0.51187015,2.1243799,3.0559494
android.sensor.gyroscope,1524535158275,2155602235715071,-0.5620484,1.9479445,2.8805962
android.sensor.gyroscope,1524535158296,2155602255736946,-0.5764997,1.7346827,2.6269822
android.sensor.gyroscope,1524535158315,2155602275727571,-0.6122266,1.5203389,2.3834565
android.sensor.gyroscope,1524535158335,2155602295718196,-0.65203756,1.299991,2.1374698
